.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Correct?,Category,Int Match?,Int Response,Int Correct?,Line Accuracy,Interference Accuracy,Matching Interferences,New instruction shown?,Buttons switched?,Fast?,gender,age,
14,12,222,10,10,5,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
14,13,223,14,14,5,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
14,14,224,5,5,5,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
15,0,225,8,8,5,['d'],Y,['d'],Y,None,N,,,,,,,female,20,
15,1,226,11,11,5,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
15,2,227,6,6,5,['d'],Y,['d'],Y,None,N,,,,,,,female,20,
15,3,228,11,11,5,['k'],Y,['k'],Y,['space'],Y,,,,,,,female,20,
15,4,229,3,3,5,['d'],Y,['d'],Y,['space'],Y,,,,,,,female,20,
15,5,230,8,8,5,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
15,6,231,12,12,5,['d'],N,['k'],Y,None,N,,,,,,,female,20,
15,7,232,9,9,5,['d'],Y,['d'],Y,['space'],Y,,,,,,,female,20,
15,8,233,11,11,5,['k'],Y,['k'],Y,['space'],Y,,,,,,,female,20,
15,9,234,13,13,5,['k'],Y,['k'],Y,['space'],Y,,,,,,,female,20,
15,10,235,11,11,5,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
15,11,236,11,11,5,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
15,12,237,7,7,5,['d'],Y,['d'],Y,['space'],Y,,,,,,,female,20,
15,13,238,6,6,5,['k'],Y,['k'],Y,['space'],Y,,,,,,,female,20,
15,14,239,8,8,5,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
16,0,240,7,7,5,['k'],Y,['k'],N,None,Y,,,,,,,female,20,
16,1,241,12,12,5,['d'],Y,['d'],Y,['space'],Y,,,,,,,female,20,
16,2,242,0,0,5,['k'],Y,['k'],Y,['space'],Y,,,,,,,female,20,
16,3,243,10,10,5,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
16,4,244,4,4,5,['k'],Y,['k'],Y,['space'],Y,,,,,,,female,20,
16,5,245,3,3,5,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
16,6,246,12,12,5,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
16,7,247,3,3,5,['d'],Y,['d'],N,None,Y,,,,,,,female,20,
