.thisRepN,.thisTrialN,.thisN,.thisIndex,Block Number,Key pressed,Category,Correct?,Button switch shown?,Fast?,gender,age
0,211,211,508,5,['k'],['k'],Y,,,female,21
0,212,212,242,5,['d'],['d'],Y,,,female,21
0,213,213,244,5,['d'],['d'],Y,,,female,21
0,214,214,399,5,['k'],['k'],Y,,,female,21
0,215,215,331,5,['k'],['k'],Y,,,female,21
0,216,216,200,5,['d'],['d'],Y,,,female,21
0,217,217,407,5,['k'],['k'],Y,,,female,21
0,218,218,280,5,['d'],['d'],Y,,,female,21
0,219,219,336,5,['k'],['k'],Y,,,female,21
0,220,220,473,5,['k'],['k'],Y,,,female,21
0,221,221,217,5,['d'],['d'],Y,,,female,21
0,222,222,378,5,['k'],['k'],Y,,,female,21
0,223,223,528,5,['d'],['k'],N,,,female,21
0,224,224,427,5,['k'],['k'],Y,,,female,21
0,225,225,344,5,['k'],['k'],Y,,,female,21
0,226,226,300,5,['k'],['k'],Y,,,female,21
0,227,227,349,5,['k'],['k'],Y,,,female,21
0,228,228,74,5,['d'],['d'],Y,,,female,21
0,229,229,329,5,['k'],['k'],Y,,,female,21
0,230,230,493,5,['k'],['k'],Y,,,female,21
0,231,231,311,5,['k'],['k'],Y,,,female,21
0,232,232,504,5,['k'],['k'],Y,,,female,21
0,233,233,459,5,['k'],['k'],Y,,,female,21
0,234,234,27,5,['d'],['d'],Y,,,female,21
0,235,235,325,5,['d'],['k'],N,,,female,21
0,236,236,477,5,['k'],['k'],Y,,,female,21
0,237,237,229,5,['d'],['d'],Y,,,female,21
0,238,238,164,5,['d'],['d'],Y,,,female,21
0,239,239,443,5,['d'],['k'],N,,,female,21
0,240,240,23,5,['d'],['d'],Y,,,female,21
0,241,241,577,5,['k'],['k'],Y,,,female,21
0,242,242,246,5,['d'],['d'],Y,,,female,21
0,243,243,80,5,['d'],['d'],Y,,,female,21
0,244,244,360,5,['k'],['k'],Y,,,female,21
0,245,245,177,5,['d'],['d'],Y,,,female,21
0,246,246,310,5,['k'],['k'],Y,,,female,21
0,247,247,213,5,['d'],['d'],Y,,,female,21
0,248,248,57,5,['d'],['d'],Y,,,female,21
0,249,249,428,5,['k'],['k'],Y,,,female,21
,,,,,,,"47 correct, 3 wrong",,,,
0,250,250,460,6,['k'],['k'],Y,,,female,21
0,251,251,51,6,['d'],['d'],Y,,,female,21
0,252,252,32,6,['d'],['d'],Y,,,female,21
0,253,253,392,6,['k'],['k'],Y,,,female,21
0,254,254,414,6,['k'],['k'],Y,,,female,21
0,255,255,13,6,['d'],['d'],Y,,,female,21
0,256,256,105,6,['d'],['d'],Y,,,female,21
0,257,257,271,6,['d'],['d'],Y,,,female,21
0,258,258,66,6,['d'],['d'],Y,,,female,21
0,259,259,140,6,['d'],['d'],Y,,,female,21
0,260,260,289,6,['d'],['d'],Y,,,female,21
0,261,261,351,6,['k'],['k'],Y,,,female,21
0,262,262,294,6,['d'],['d'],Y,,,female,21
0,263,263,372,6,['k'],['k'],Y,,,female,21
0,264,264,588,6,['k'],['k'],Y,,,female,21
0,265,265,440,6,['k'],['k'],Y,,,female,21
0,266,266,225,6,['d'],['d'],Y,,,female,21
0,267,267,362,6,['k'],['k'],Y,,,female,21
0,268,268,85,6,['d'],['d'],Y,,,female,21
0,269,269,332,6,['k'],['k'],Y,,,female,21
0,270,270,322,6,['k'],['k'],Y,,,female,21
0,271,271,282,6,['d'],['d'],Y,,,female,21
0,272,272,21,6,['d'],['d'],Y,,,female,21
0,273,273,218,6,['k'],['d'],N,,,female,21
0,274,274,369,6,['k'],['k'],Y,,,female,21
0,275,275,173,6,['k'],['d'],N,,,female,21
0,276,276,566,6,['k'],['k'],Y,,,female,21
0,277,277,522,6,['k'],['k'],Y,,,female,21
0,278,278,586,6,['d'],['k'],N,,,female,21
0,279,279,31,6,['d'],['d'],Y,,,female,21
0,280,280,265,6,['d'],['d'],Y,,,female,21
0,281,281,444,6,['k'],['k'],Y,,,female,21
0,282,282,26,6,['d'],['d'],Y,,,female,21
0,283,283,49,6,['d'],['d'],Y,,,female,21
0,284,284,198,6,['d'],['d'],Y,,,female,21
0,285,285,366,6,['k'],['k'],Y,,,female,21
0,286,286,75,6,['d'],['d'],Y,,,female,21
0,287,287,40,6,['d'],['d'],Y,,,female,21
0,288,288,452,6,['k'],['k'],Y,,,female,21
0,289,289,570,6,['k'],['k'],Y,,,female,21
0,290,290,400,6,['k'],['k'],Y,,,female,21
0,291,291,425,6,['k'],['k'],Y,,,female,21
0,292,292,7,6,['d'],['d'],Y,,,female,21
0,293,293,251,6,['d'],['d'],Y,,,female,21
0,294,294,422,6,['k'],['k'],Y,,,female,21
0,295,295,474,6,['k'],['k'],Y,,,female,21
0,296,296,68,6,['d'],['d'],Y,,,female,21
0,297,297,110,6,['d'],['d'],Y,,,female,21
0,298,298,439,6,['k'],['k'],Y,,,female,21
0,299,299,192,6,['d'],['d'],Y,,,female,21
,,,,,,,"47 correct, 3 wrong",,,,
0,300,300,256,7,['d'],['d'],Y,,,female,21
0,301,301,121,7,['d'],['d'],Y,,,female,21
0,302,302,272,7,['d'],['d'],Y,,,female,21
0,303,303,496,7,['k'],['k'],Y,,,female,21
0,304,304,160,7,['d'],['d'],Y,,,female,21
0,305,305,374,7,['k'],['k'],Y,,,female,21
0,306,306,55,7,['d'],['d'],Y,,,female,21
0,307,307,255,7,['d'],['d'],Y,,,female,21
0,308,308,0,7,['d'],['d'],Y,,,female,21
0,309,309,214,7,['d'],['d'],Y,,,female,21
0,310,310,6,7,['d'],['d'],Y,,,female,21
0,311,311,314,7,['k'],['k'],Y,,,female,21
0,312,312,437,7,['k'],['k'],Y,,,female,21
0,313,313,468,7,['k'],['k'],Y,,,female,21
0,314,314,188,7,['k'],['d'],N,,,female,21
0,315,315,206,7,['k'],['d'],N,,,female,21
0,316,316,447,7,['k'],['k'],Y,,,female,21
0,317,317,576,7,['k'],['k'],Y,,,female,21
0,318,318,171,7,['d'],['d'],Y,,,female,21
0,319,319,435,7,['k'],['k'],Y,,,female,21
0,320,320,107,7,['d'],['d'],Y,,,female,21
0,321,321,306,7,['k'],['k'],Y,,,female,21
0,322,322,133,7,['d'],['d'],Y,,,female,21
0,323,323,436,7,['k'],['k'],Y,,,female,21
0,324,324,470,7,['k'],['k'],Y,,,female,21
0,325,325,536,7,['d'],['k'],N,,,female,21
0,326,326,389,7,['k'],['k'],Y,,,female,21
0,327,327,131,7,['d'],['d'],Y,,,female,21
0,328,328,364,7,['k'],['k'],Y,,,female,21
0,329,329,494,7,['k'],['k'],Y,,,female,21
0,330,330,232,7,['d'],['d'],Y,,,female,21
0,331,331,106,7,['d'],['d'],Y,,,female,21
0,332,332,540,7,['d'],['k'],N,,,female,21
0,333,333,109,7,['d'],['d'],Y,,,female,21
0,334,334,547,7,['k'],['k'],Y,,,female,21
0,335,335,290,7,['d'],['d'],Y,,,female,21
0,336,336,587,7,['k'],['k'],Y,,,female,21
0,337,337,241,7,['d'],['d'],Y,,,female,21
0,338,338,487,7,['k'],['k'],Y,,,female,21
0,339,339,373,7,['d'],['k'],N,,,female,21
0,340,340,158,7,['d'],['d'],Y,,,female,21
0,341,341,554,7,['k'],['k'],Y,,,female,21
0,342,342,432,7,['k'],['k'],Y,,,female,21
0,343,343,3,7,['k'],['d'],N,,,female,21
0,344,344,458,7,['k'],['k'],Y,,,female,21
0,345,345,149,7,['d'],['d'],Y,,,female,21
0,346,346,1,7,['d'],['d'],Y,,,female,21
0,347,347,210,7,['d'],['d'],Y,,,female,21
0,348,348,156,7,['d'],['d'],Y,,,female,21
0,349,349,19,7,['d'],['d'],Y,,,female,21
,,,,,,,"44 correct, 6 wrong",,,,
0,350,350,591,8,['k'],['k'],Y,,,female,21
0,351,351,450,8,['k'],['k'],Y,,,female,21
0,352,352,354,8,['k'],['k'],Y,,,female,21
0,353,353,60,8,['d'],['d'],Y,,,female,21
0,354,354,113,8,['d'],['d'],Y,,,female,21
0,355,355,333,8,['k'],['k'],Y,,,female,21
0,356,356,479,8,['d'],['k'],N,,,female,21
0,357,357,141,8,['d'],['d'],Y,,,female,21
0,358,358,565,8,['k'],['k'],Y,,,female,21
0,359,359,482,8,['k'],['k'],Y,,,female,21
0,360,360,119,8,['k'],['d'],N,,,female,21
0,361,361,467,8,['k'],['k'],Y,,,female,21
0,362,362,320,8,['k'],['k'],Y,,,female,21
0,363,363,12,8,['d'],['d'],Y,,,female,21
0,364,364,257,8,['d'],['d'],Y,,,female,21
0,365,365,514,8,['d'],['k'],N,,,female,21
0,366,366,448,8,['d'],['k'],N,,,female,21
0,367,367,525,8,['k'],['k'],Y,,,female,21
0,368,368,52,8,['d'],['d'],Y,,,female,21
0,369,369,283,8,['d'],['d'],Y,,,female,21
0,370,370,568,8,['k'],['k'],Y,,,female,21
0,371,371,129,8,['d'],['d'],Y,,,female,21
0,372,372,136,8,['d'],['d'],Y,,,female,21
0,373,373,546,8,['k'],['k'],Y,,,female,21
0,374,374,25,8,['d'],['d'],Y,,,female,21
0,375,375,61,8,['d'],['d'],Y,,,female,21
0,376,376,472,8,['k'],['k'],Y,,,female,21
0,377,377,533,8,['k'],['k'],Y,,,female,21
0,378,378,293,8,['d'],['d'],Y,,,female,21
0,379,379,17,8,['d'],['d'],Y,,,female,21
0,380,380,434,8,['k'],['k'],Y,,,female,21
0,381,381,313,8,['k'],['k'],Y,,,female,21
0,382,382,161,8,['d'],['d'],Y,,,female,21
0,383,383,73,8,['d'],['d'],Y,,,female,21
0,384,384,478,8,['k'],['k'],Y,,,female,21
0,385,385,16,8,['d'],['d'],Y,,,female,21
0,386,386,403,8,['d'],['k'],N,,,female,21
0,387,387,185,8,['d'],['d'],Y,,,female,21
0,388,388,114,8,['d'],['d'],Y,,,female,21
0,389,389,270,8,['d'],['d'],Y,,,female,21
0,390,390,139,8,['d'],['d'],Y,,,female,21
0,391,391,11,8,['d'],['d'],Y,,,female,21
0,392,392,429,8,['k'],['k'],Y,,,female,21
0,393,393,371,8,['k'],['k'],Y,,,female,21
0,394,394,359,8,['k'],['k'],Y,,,female,21
0,395,395,78,8,['d'],['d'],Y,,,female,21
0,396,396,240,8,['d'],['d'],Y,,,female,21
0,397,397,446,8,['k'],['k'],Y,,,female,21
0,398,398,64,8,['d'],['d'],Y,,,female,21
0,399,399,125,8,['d'],['d'],Y,,,female,21
,,,,,,,"45 correct, 5 wrong",,,,
0,400,400,153,9,['d'],['d'],Y,,,female,21
0,401,401,380,9,['k'],['k'],Y,,,female,21
0,402,402,301,9,['k'],['k'],Y,,,female,21
0,403,403,201,9,['d'],['d'],Y,,,female,21
0,404,404,476,9,['k'],['k'],Y,,,female,21
0,405,405,361,9,['k'],['k'],Y,,,female,21
0,406,406,355,9,['k'],['k'],Y,,,female,21
0,407,407,551,9,['k'],['k'],Y,,,female,21
0,408,408,426,9,['k'],['k'],Y,,,female,21
0,409,409,598,9,['k'],['k'],Y,,,female,21
0,410,410,102,9,['d'],['d'],Y,,,female,21
0,411,411,44,9,['d'],['d'],Y,,,female,21
0,412,412,118,9,['d'],['d'],Y,,,female,21
0,413,413,165,9,['d'],['d'],Y,,,female,21
0,414,414,180,9,['d'],['d'],Y,,,female,21
0,415,415,77,9,['d'],['d'],Y,,,female,21
0,416,416,230,9,['d'],['d'],Y,,,female,21
0,417,417,521,9,['k'],['k'],Y,,,female,21
0,418,418,445,9,['k'],['k'],Y,,,female,21
0,419,419,498,9,['d'],['k'],N,,,female,21
0,420,420,492,9,['d'],['k'],N,,,female,21
0,421,421,582,9,['k'],['k'],Y,,,female,21
0,422,422,189,9,['d'],['d'],Y,,,female,21
0,423,423,561,9,['k'],['k'],Y,,,female,21
0,424,424,543,9,['k'],['k'],Y,,,female,21
0,425,425,50,9,['d'],['d'],Y,,,female,21
0,426,426,35,9,['d'],['d'],Y,,,female,21
0,427,427,97,9,['d'],['d'],Y,,,female,21
0,428,428,556,9,['k'],['k'],Y,,,female,21
0,429,429,122,9,['d'],['d'],Y,,,female,21
0,430,430,268,9,['d'],['d'],Y,,,female,21
0,431,431,238,9,['d'],['d'],Y,,,female,21
0,432,432,163,9,['d'],['d'],Y,,,female,21
0,433,433,326,9,['d'],['k'],N,,,female,21
0,434,434,96,9,['d'],['d'],Y,,,female,21
0,435,435,267,9,['d'],['d'],Y,,,female,21
0,436,436,196,9,['d'],['d'],Y,,,female,21
0,437,437,243,9,['d'],['d'],Y,,,female,21
0,438,438,368,9,['k'],['k'],Y,,,female,21
0,439,439,499,9,['k'],['k'],Y,,,female,21
0,440,440,253,9,['d'],['d'],Y,,,female,21
0,441,441,108,9,['k'],['d'],N,,,female,21
0,442,442,491,9,['k'],['k'],Y,,,female,21
0,443,443,273,9,['k'],['d'],N,,,female,21
0,444,444,117,9,['d'],['d'],Y,,,female,21
0,445,445,323,9,['d'],['k'],N,,,female,21
0,446,446,303,9,['k'],['k'],Y,,,female,21
0,447,447,574,9,['k'],['k'],Y,,,female,21
0,448,448,154,9,['d'],['d'],Y,,,female,21
0,449,449,278,9,['d'],['d'],Y,,,female,21
,,,,,,,"44 correct, 6 wrong",,,,
0,450,450,334,10,['k'],['k'],Y,,,female,21
0,451,451,101,10,['d'],['d'],Y,,,female,21
0,452,452,397,10,['k'],['k'],Y,,,female,21
0,453,453,33,10,['d'],['d'],Y,,,female,21
0,454,454,132,10,['d'],['d'],Y,,,female,21
0,455,455,583,10,['k'],['k'],Y,,,female,21
0,456,456,79,10,['d'],['d'],Y,,,female,21
0,457,457,15,10,['d'],['d'],Y,,,female,21
0,458,458,99,10,['d'],['d'],Y,,,female,21
0,459,459,370,10,['k'],['k'],Y,,,female,21
0,460,460,148,10,['d'],['d'],Y,,,female,21
0,461,461,419,10,['k'],['k'],Y,,,female,21
0,462,462,315,10,['k'],['k'],Y,,,female,21
0,463,463,167,10,['d'],['d'],Y,,,female,21
0,464,464,145,10,['d'],['d'],Y,,,female,21
0,465,465,483,10,['d'],['k'],N,,,female,21
0,466,466,123,10,['d'],['d'],Y,,,female,21
0,467,467,393,10,['k'],['k'],Y,,,female,21
0,468,468,475,10,['k'],['k'],Y,,,female,21
0,469,469,411,10,['k'],['k'],Y,,,female,21
0,470,470,449,10,['k'],['k'],Y,,,female,21
0,471,471,409,10,['k'],['k'],Y,,,female,21
0,472,472,260,10,['d'],['d'],Y,,,female,21
0,473,473,529,10,['k'],['k'],Y,,,female,21
0,474,474,464,10,['k'],['k'],Y,,,female,21
0,475,475,367,10,['k'],['k'],Y,,,female,21
0,476,476,348,10,['k'],['k'],Y,,,female,21
0,477,477,205,10,['d'],['d'],Y,,,female,21
0,478,478,318,10,['k'],['k'],Y,,,female,21
0,479,479,144,10,['d'],['d'],Y,,,female,21
0,480,480,184,10,['d'],['d'],Y,,,female,21
0,481,481,548,10,['k'],['k'],Y,,,female,21
0,482,482,387,10,['k'],['k'],Y,,,female,21
0,483,483,298,10,['d'],['d'],Y,,,female,21
0,484,484,134,10,['d'],['d'],Y,,,female,21
0,485,485,291,10,['d'],['d'],Y,,,female,21
0,486,486,507,10,['k'],['k'],Y,,,female,21
0,487,487,544,10,['k'],['k'],Y,,,female,21
0,488,488,82,10,['d'],['d'],Y,,,female,21
0,489,489,308,10,['k'],['k'],Y,,,female,21
0,490,490,43,10,['d'],['d'],Y,,,female,21
0,491,491,287,10,['d'],['d'],Y,,,female,21
0,492,492,207,10,['d'],['d'],Y,,,female,21
0,493,493,319,10,['k'],['k'],Y,,,female,21
0,494,494,58,10,['d'],['d'],Y,,,female,21
0,495,495,195,10,['d'],['d'],Y,,,female,21
0,496,496,92,10,['d'],['d'],Y,,,female,21
0,497,497,135,10,['d'],['d'],Y,,,female,21
0,498,498,497,10,['k'],['k'],Y,,,female,21
0,499,499,381,10,['k'],['k'],Y,,,female,21
,,,,,,,"49 correct, 1 wrong",,,,
0,500,500,341,11,['d'],['k'],Y,Y,Y,female,21
