.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Correct?,Int Match?,Int Response,Int Correct?,Category,Line Accuracy,Interference Accuracy,Matching Interferences,New instruction shown?,Buttons switched?,Fast?,gender,age,
27,4,301,7,7,7,['k'],Y,,,,['k'],,,,,,,F,21,
27,5,302,7,7,7,['d'],N,N,None,Y,['k'],,,,,,,F,21,
27,6,303,2,2,7,['k'],Y,N,None,Y,['k'],,,,,,,F,21,
27,7,304,9,9,7,['d'],N,Y,['space'],Y,['k'],,,,,,,F,21,
27,8,305,10,10,7,['k'],N,N,None,Y,['d'],,,,,,,F,21,
27,9,306,7,7,7,['d'],Y,Y,['space'],Y,['d'],,,,,,,F,21,
27,10,307,10,10,7,['d'],Y,N,None,Y,['d'],,,,,,,F,21,
28,0,308,3,3,7,['k'],N,Y,['space'],Y,['d'],,,,,,,F,21,
28,1,309,5,5,7,['k'],N,N,None,Y,['d'],,,,,,,F,21,
28,2,310,8,8,7,['d'],N,Y,['space'],Y,['k'],,,,,,,F,21,
28,3,311,10,10,7,['d'],N,N,None,Y,['k'],,,,,,,F,21,
28,4,312,3,3,7,['d'],Y,N,None,Y,['d'],,,,,,,F,21,
28,5,313,3,3,7,['d'],Y,Y,['space'],Y,['d'],,,,,,,F,21,
28,6,314,8,8,7,['d'],Y,Y,['space'],Y,['d'],,,,,,,F,21,
28,7,315,4,4,7,['d'],Y,Y,['space'],Y,['d'],,,,,,,F,21,
28,8,316,10,10,7,['k'],N,N,None,Y,['d'],,,,,,,F,21,
28,9,317,2,2,7,['d'],Y,N,None,Y,['d'],,,,,,,F,21,
28,10,318,10,10,7,['d'],Y,N,None,Y,['d'],,,,,,,F,21,
29,0,319,7,7,7,['d'],N,N,None,Y,['k'],,,,,,,F,21,
29,1,320,9,9,7,['d'],Y,N,None,Y,['d'],,,,,,,F,21,
29,2,321,2,2,7,['k'],Y,Y,None,N,['k'],,,,,,,F,21,
29,3,322,4,4,7,['d'],N,Y,['space'],Y,['k'],,,,,,,F,21,
29,4,323,9,9,7,['d'],N,N,None,Y,['k'],,,,,,,F,21,
29,5,324,6,6,7,['k'],Y,Y,['space'],Y,['k'],,,,,,,F,21,
