.thisRepN,.thisTrialN,.thisN,.thisIndex,.thisTrial,Block Number,Key pressed,Category,Correct?,Int Match?,Int Response,Int Correct?,Line Accuracy,Interference Accuracy,Matching Interferences,New instruction shown?,Buttons switched?,Fast?,gender,age
19,2,211,3,3,5,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,19
19,3,212,3,3,5,['d'],['d'],Y,N,None,Y,,,,,,,F,19
19,4,213,0,0,5,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19
19,5,214,5,5,5,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19
19,6,215,4,4,5,['d'],['d'],Y,N,None,Y,,,,,,,F,19
19,7,216,8,8,5,['d'],['d'],Y,N,None,Y,,,,,,,F,19
19,8,217,9,9,5,['d'],['d'],Y,N,None,Y,,,,,,,F,19
19,9,218,10,10,5,['d'],['d'],Y,N,None,Y,,,,,,,F,19
19,10,219,3,3,5,['k'],['k'],Y,N,None,Y,,,,,,,F,19
20,0,220,0,0,5,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19
20,1,221,2,2,5,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19
20,2,222,7,7,5,['k'],['d'],N,Y,['space'],Y,,,,,,,F,19
20,3,223,5,5,5,['k'],['k'],Y,N,None,Y,,,,,,,F,19
20,4,224,9,9,5,['d'],['d'],Y,N,None,Y,,,,,,,F,19
20,5,225,10,10,5,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,19
20,6,226,8,8,5,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19
20,7,227,1,1,5,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19
20,8,228,4,4,5,['d'],['d'],Y,N,None,Y,,,,,,,F,19
20,9,229,9,9,5,['k'],['k'],Y,N,None,Y,,,,,,,F,19
20,10,230,4,4,5,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19
21,0,231,8,8,5,['d'],['d'],Y,N,None,Y,,,,,,,F,19
21,1,232,4,4,5,['k'],['k'],Y,N,None,Y,,,,,,,F,19
21,2,233,1,1,5,['k'],['k'],Y,N,None,Y,,,,,,,F,19
21,3,234,5,5,5,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19
21,4,235,2,2,5,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,19
21,5,236,4,4,5,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19
21,6,237,4,4,5,['d'],['d'],Y,N,None,Y,,,,,,,F,19
21,7,238,0,0,5,['d'],['d'],Y,N,None,Y,,,,,,,F,19
21,8,239,10,10,5,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19
21,9,240,3,3,5,['d'],['d'],Y,N,None,Y,,,,,,,F,19
21,10,241,6,6,5,['k'],['k'],Y,N,None,Y,,,,,,,F,19
22,0,242,6,6,5,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19
22,1,243,2,2,5,['k'],['d'],N,Y,['space'],Y,,,,,,,F,19
22,2,244,9,9,5,['d'],['k'],N,N,None,Y,,,,,,,F,19
22,3,245,8,8,5,['k'],['k'],Y,N,None,Y,,,,,,,F,19
22,4,246,2,2,5,['d'],['d'],Y,N,None,Y,,,,,,,F,19
22,5,247,1,1,5,['k'],['k'],Y,Y,['space'],Y,,,,,,,F,19
22,6,248,2,2,5,['d'],['d'],Y,Y,['space'],Y,,,,,,,F,19
